epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8539,2.42279,3.81072,1.98647,0.00499,0.78471,0.18739,0.06156,2.13324,4.20777,1.82773,0.000645833,0.000645833,0.000645833
2,119.112,1.9563,3.05568,1.66236,0.25088,0.11469,0.09302,0.03041,2.195,5.91248,2.09503,0.00130384,0.00130384,0.00130384
3,149.502,1.99695,2.85102,1.63913,0.20913,0.17907,0.11794,0.0365,2.41502,3.53125,2.48863,0.00195304,0.00195304,0.00195304
4,178.824,1.93231,2.63963,1.65362,0.03033,0.09859,0.01319,0.0044,2.49205,4.36776,2.36529,0.0019604,0.0019604,0.0019604
5,222.358,1.92752,2.45352,1.61874,0.17556,0.11268,0.08046,0.02271,2.55176,3.55684,2.34581,0.0019472,0.0019472,0.0019472
6,249.546,1.88357,2.30614,1.6082,0.23112,0.35442,0.19978,0.07163,2.09599,3.74163,1.81264,0.001934,0.001934,0.001934
7,280.139,1.83244,2.22662,1.59857,0.43849,0.51509,0.43488,0.17482,1.89242,2.08602,1.75372,0.0019208,0.0019208,0.0019208
8,308.742,1.76136,2.0441,1.51803,0.24207,0.23944,0.17481,0.05069,2.03364,4.24261,1.84492,0.0019076,0.0019076,0.0019076
9,337.843,1.79486,2.07277,1.52408,0.51796,0.54915,0.52101,0.21364,1.71672,2.93693,1.58542,0.0018944,0.0018944,0.0018944
10,363.785,1.71943,1.96732,1.49423,0.41362,0.55778,0.47203,0.19306,1.77234,2.12819,1.59287,0.0018812,0.0018812,0.0018812
11,391.838,1.75231,1.87352,1.45783,0.22247,0.29376,0.13406,0.03517,2.5685,3.4345,2.12954,0.001868,0.001868,0.001868
12,415.009,1.71637,1.82686,1.46623,0.48931,0.54326,0.50973,0.2183,1.77668,1.93537,1.55663,0.0018548,0.0018548,0.0018548
13,440.201,1.69679,1.79881,1.45859,0.53142,0.52716,0.54558,0.2372,1.7477,1.9096,1.61814,0.0018416,0.0018416,0.0018416
14,464.526,1.6393,1.78246,1.42785,0.55988,0.60161,0.58719,0.27386,1.69362,1.72576,1.4886,0.0018284,0.0018284,0.0018284
15,500.395,1.64649,1.76391,1.41995,0.45674,0.53119,0.51975,0.24961,1.61911,1.74634,1.43319,0.0018152,0.0018152,0.0018152
16,530.823,1.63631,1.73768,1.4065,0.52031,0.5493,0.52288,0.24257,1.72263,1.86654,1.47392,0.001802,0.001802,0.001802
17,578.772,1.68214,1.71053,1.43918,0.63425,0.65996,0.6951,0.34908,1.52135,1.77766,1.42529,0.0017888,0.0017888,0.0017888
18,617.473,1.6314,1.67927,1.41209,0.43958,0.46479,0.43963,0.16024,2.02493,2.12205,1.6267,0.0017756,0.0017756,0.0017756
19,648.74,1.65185,1.62866,1.44712,0.71216,0.69695,0.75568,0.35485,1.58104,1.53402,1.45149,0.0017624,0.0017624,0.0017624
20,680.703,1.60279,1.64972,1.40373,0.67895,0.69358,0.73796,0.36016,1.55167,1.59674,1.35414,0.0017492,0.0017492,0.0017492
21,715.159,1.60945,1.6187,1.40063,0.6751,0.76092,0.75601,0.37798,1.52342,1.61327,1.39929,0.001736,0.001736,0.001736
22,747.819,1.63858,1.53625,1.42604,0.70724,0.76056,0.78173,0.39045,1.5399,1.60948,1.42736,0.0017228,0.0017228,0.0017228
23,777.574,1.54449,1.55809,1.36464,0.68439,0.6338,0.70867,0.36398,1.56485,1.48082,1.37302,0.0017096,0.0017096,0.0017096
24,806.998,1.59581,1.52712,1.38427,0.7094,0.71221,0.7691,0.39844,1.53014,1.33125,1.38753,0.0016964,0.0016964,0.0016964
25,838.725,1.5103,1.48908,1.38088,0.79722,0.79477,0.86738,0.45814,1.45024,1.28864,1.39562,0.0016832,0.0016832,0.0016832
26,869.798,1.52646,1.45885,1.32652,0.73927,0.65609,0.78747,0.42071,1.45969,1.45703,1.40742,0.00167,0.00167,0.00167
27,901.503,1.56437,1.44719,1.33908,0.75667,0.69014,0.78414,0.41599,1.49125,1.30119,1.34241,0.0016568,0.0016568,0.0016568
28,933.716,1.54385,1.43121,1.33798,0.76017,0.72703,0.82038,0.43228,1.44685,1.30006,1.34184,0.0016436,0.0016436,0.0016436
29,963.105,1.54047,1.38187,1.36159,0.76218,0.71429,0.81756,0.43275,1.51381,1.28304,1.32545,0.0016304,0.0016304,0.0016304
30,991.18,1.53064,1.44353,1.34669,0.72482,0.76317,0.81899,0.41098,1.49932,1.254,1.30129,0.0016172,0.0016172,0.0016172
31,1020.06,1.49045,1.34632,1.31895,0.7211,0.7666,0.80775,0.44621,1.39617,1.24253,1.32616,0.001604,0.001604,0.001604
32,1049.63,1.51258,1.42199,1.36541,0.79247,0.82495,0.86843,0.46882,1.40749,1.13445,1.30174,0.0015908,0.0015908,0.0015908
33,1077.46,1.55868,1.35491,1.37691,0.77004,0.77465,0.84374,0.43753,1.4412,1.37023,1.35816,0.0015776,0.0015776,0.0015776
34,1105.59,1.50608,1.42568,1.33695,0.78857,0.81489,0.86481,0.46933,1.44211,1.2013,1.32969,0.0015644,0.0015644,0.0015644
35,1133.77,1.5177,1.35132,1.35514,0.80756,0.82696,0.89066,0.4911,1.40657,1.13424,1.30435,0.0015512,0.0015512,0.0015512
36,1162.48,1.48904,1.3142,1.33117,0.81556,0.75625,0.86217,0.47991,1.40058,1.18343,1.28728,0.001538,0.001538,0.001538
37,1190.76,1.46102,1.30538,1.29823,0.83288,0.84234,0.90014,0.51987,1.34056,1.09266,1.26924,0.0015248,0.0015248,0.0015248
38,1217.66,1.45192,1.31914,1.33554,0.8122,0.82495,0.89428,0.53177,1.32362,1.06364,1.24932,0.0015116,0.0015116,0.0015116
39,1241.31,1.43724,1.28632,1.26065,0.8498,0.80828,0.90903,0.514,1.3383,1.05888,1.24333,0.0014984,0.0014984,0.0014984
40,1264.44,1.48162,1.31567,1.32789,0.74214,0.81653,0.84869,0.46345,1.43108,1.28923,1.31138,0.0014852,0.0014852,0.0014852
41,1288.86,1.43417,1.27642,1.30766,0.84544,0.83647,0.91851,0.54928,1.29708,1.02291,1.26671,0.001472,0.001472,0.001472
42,1311.96,1.4577,1.26442,1.30381,0.81799,0.82291,0.89139,0.51275,1.36097,1.10758,1.27507,0.0014588,0.0014588,0.0014588
43,1336.35,1.41141,1.20793,1.29599,0.85522,0.83903,0.91706,0.51187,1.35717,1.10524,1.31337,0.0014456,0.0014456,0.0014456
44,1363.39,1.41708,1.28285,1.30491,0.89066,0.8672,0.94056,0.56234,1.28263,0.94723,1.28437,0.0014324,0.0014324,0.0014324
45,1393.5,1.37356,1.16201,1.29674,0.87278,0.85312,0.93065,0.57515,1.24455,0.96218,1.22196,0.0014192,0.0014192,0.0014192
46,1424.25,1.43123,1.16435,1.27835,0.84022,0.89933,0.92533,0.55724,1.2722,1.0237,1.24383,0.001406,0.001406,0.001406
47,1454.22,1.40776,1.18653,1.26973,0.86398,0.87525,0.92678,0.53158,1.33402,1.00588,1.26236,0.0013928,0.0013928,0.0013928
48,1483.76,1.40062,1.13109,1.28398,0.90807,0.8347,0.91615,0.54541,1.30892,1.02431,1.26604,0.0013796,0.0013796,0.0013796
49,1512.36,1.38594,1.15937,1.26169,0.89149,0.90342,0.95409,0.57731,1.24152,0.91066,1.22263,0.0013664,0.0013664,0.0013664
50,1538.97,1.36772,1.15569,1.25465,0.89849,0.88531,0.9549,0.58314,1.2321,0.90666,1.2279,0.0013532,0.0013532,0.0013532
51,1572.54,1.3609,1.10291,1.25584,0.87992,0.85915,0.929,0.55283,1.27829,0.97131,1.2645,0.00134,0.00134,0.00134
52,1617.56,1.36549,1.15133,1.2528,0.90727,0.91549,0.96098,0.56724,1.30975,0.90627,1.28442,0.0013268,0.0013268,0.0013268
53,1647.44,1.37948,1.11181,1.27003,0.92512,0.87123,0.95515,0.59746,1.20874,0.8668,1.19799,0.0013136,0.0013136,0.0013136
54,1679.18,1.38613,1.11723,1.2734,0.89448,0.90946,0.9608,0.60026,1.18956,0.86923,1.19639,0.0013004,0.0013004,0.0013004
55,1709.87,1.35918,1.11366,1.23486,0.92884,0.88531,0.96346,0.55004,1.32613,0.87378,1.22393,0.0012872,0.0012872,0.0012872
56,1740.33,1.39339,1.09624,1.25716,0.9141,0.92067,0.96765,0.63502,1.12996,0.8706,1.18429,0.001274,0.001274,0.001274
57,1771.91,1.35703,1.10265,1.25925,0.92279,0.91376,0.96847,0.62031,1.1713,0.82433,1.17542,0.0012608,0.0012608,0.0012608
58,1802.31,1.36746,1.08572,1.24542,0.88676,0.91549,0.95784,0.6002,1.21165,0.84169,1.19081,0.0012476,0.0012476,0.0012476
59,1833.94,1.31856,1.08447,1.24882,0.89541,0.86922,0.95348,0.60494,1.17423,0.8616,1.16922,0.0012344,0.0012344,0.0012344
60,1863.27,1.32657,1.07514,1.20704,0.92504,0.92958,0.96998,0.6157,1.18617,0.82341,1.20472,0.0012212,0.0012212,0.0012212
61,1893.54,1.30826,1.06033,1.25446,0.94073,0.92611,0.97505,0.61129,1.18977,0.80099,1.19803,0.001208,0.001208,0.001208
62,1923.79,1.33228,1.05825,1.25507,0.90555,0.9497,0.96799,0.61272,1.20379,0.81212,1.19144,0.0011948,0.0011948,0.0011948
63,1953.97,1.29832,1.02635,1.22205,0.94604,0.94567,0.97002,0.64382,1.1159,0.78878,1.16633,0.0011816,0.0011816,0.0011816
64,1982.95,1.34196,1.05235,1.2283,0.8846,0.94567,0.96186,0.5868,1.25629,0.86817,1.22033,0.0011684,0.0011684,0.0011684
65,2009.54,1.3343,1.05979,1.23039,0.9122,0.91983,0.96865,0.59762,1.24484,0.85383,1.23259,0.0011552,0.0011552,0.0011552
66,2037.73,1.31078,1.04125,1.21636,0.90184,0.92431,0.97093,0.63596,1.13075,0.78423,1.18602,0.001142,0.001142,0.001142
67,2065.89,1.33998,1.01968,1.23104,0.93519,0.93964,0.97567,0.64753,1.12191,0.75415,1.15229,0.0011288,0.0011288,0.0011288
68,2094.42,1.27599,1.01887,1.21059,0.90903,0.9048,0.96744,0.63406,1.13803,0.81168,1.17356,0.0011156,0.0011156,0.0011156
69,2122.53,1.26148,1.00274,1.2028,0.92051,0.9553,0.97694,0.64356,1.12376,0.75425,1.14658,0.0011024,0.0011024,0.0011024
70,2147.92,1.25218,0.97251,1.17792,0.92151,0.94366,0.97954,0.66305,1.0542,0.76277,1.13456,0.0010892,0.0010892,0.0010892
71,2177.31,1.29453,0.97353,1.19237,0.91404,0.94133,0.97867,0.66338,1.0843,0.71741,1.12715,0.001076,0.001076,0.001076
